Title,price,rating,reviews,Link,description,manufacturer,ASIN
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599.00,3.7 out of 5 stars,33 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTkxOTEwMDU2MTcyNTA3OjE2NzU0NTY2MDQ6c3BfYXRmOjIwMDk4MDI3MDk5Njk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675456604%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"KEY FEATURES - Black Colour Laptop Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.     Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. IMPORTANT NOTE: We do NOT provide Free Portable Charger with the Bag     Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.     Essence of Fur Jaden - We craft signature Laptop Backpacks and Casual Backpacks that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication. We strive to make thoughtful designs that are high on aesthetics as well as on utility and functionality.; 100% Genuine NORTHZONE Men products, 10 days No Question asked replacement guarantee from the date of delivery     Age Range Description: Adult; Color Name: Grey; Lining Description: Polyester; Pattern Name: Solid; Material Type: Polyester",SB NTERPRISES,B0BH8S9QGH
DYBBUK Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L,₹664,3.6 out of 5 stars,19 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTkxOTEwMDU2MTcyNTA3OjE2NzU0NTY2MDQ6c3BfYXRmOjIwMDk4MDI3MTAwMDk4OjowOjo&url=%2FDYBBUK-Lightweight-Backpacks-Stylish-College%2Fdp%2FB0BK4VL6P9%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675456604%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items     CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use     CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.     HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.     Pattern Name: Solid; Pocket Description: Utility Pocket; Color Name: Neavy Blue; Water Resistance Level: Waterproof; Age Range Description: Adult",SB NTERPRISES,B0BK4VL6P9
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,199.00",4.1 out of 5 stars,"51,380 ratings",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675456604&sprefix=ba%2Caps%2C283&sr=8-3,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support",,B07CJCGM1M
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.9 out of 5 stars,463 ratings,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675456604&sprefix=ba%2Caps%2C283&sr=8-4,Material: Water Resistant Light-Weight Polyester    Compartments: 2 with padding; Laptop Size: 15.6 inch and below    Dimensions: LxWxH - 12.5 x 7.5 x 19 inches    Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders    Closure Type: Zipper,Appario Retail Private Ltd,B09TPX22NF
Skybags Brat Black 46 Cms Casual Backpack,₹669.00,4.1 out of 5 stars,"3,373 ratings",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675456604&sprefix=ba%2Caps%2C283&sr=8-5,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,",RetailEZ Pvt Ltd,B08Z1HHHTD
Kuber Industries Women's Handkerchief Set (Cream),₹312.62,3.8 out of 5 stars,472 ratings,https://www.amazon.in/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082VDVJGM&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082VDVJGM&pd_rd_r=ba0775f5-6bc9-4787-81e3-e371913aa4f8&pd_rd_w=gezJ0&pd_rd_wg=7CVK6&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=G0W67QHJKWAG7F1QSBMQ&qid=1675456604&sprefix=ba%2Caps%2C283&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,"PACKAGE CONTAIN: 1 Piece Embroidered Party Wear Clutch    MATERIAL: Polyester, COLOR: Cream    PRODUCT DIMENSION: 27 X 17 X 1 CM    Latest stylish party wear evening clutches for women.Bag has a detachable gold polish shoulder chain.    This Clutch has a unique design and you can use it on any occasion like parties, anniversary, wedding, etc. This hand bag makes you glamorous and unique among your friends, familiar persons.",,
Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),₹615.00,3.9 out of 5 stars,"4,073 ratings",https://www.amazon.in/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B082Z33ZDS&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B082Z33ZDS&pd_rd_r=ba0775f5-6bc9-4787-81e3-e371913aa4f8&pd_rd_w=gezJ0&pd_rd_wg=7CVK6&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=G0W67QHJKWAG7F1QSBMQ&qid=1675456604&sprefix=ba%2Caps%2C283&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,"Material: Leather    Closure Type: Zip    Strap Type: Shoulder Removable Strap; Adjustable    Multi Compartments     2 Big Zipper Pocket In The Middle, 1 Small Zipper Pocket For Your Key/Card",,
ADISA women girls embroided sling bag,₹599,4.2 out of 5 stars,"1,412 ratings",https://www.amazon.in/ADISA-women-girls-black-embroided/dp/B08RWBP3H2/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B08RWBP3H2&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B08RWBP3H2&pd_rd_r=ba0775f5-6bc9-4787-81e3-e371913aa4f8&pd_rd_w=gezJ0&pd_rd_wg=7CVK6&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=G0W67QHJKWAG7F1QSBMQ&qid=1675456604&sprefix=ba%2Caps%2C283&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,"Material: PU / Synthetic Leather    Closure: Zipper    Compartment: 1, Pocket: 1    Dimensions: LxWxH - 7 x 3 x 7 inch    Ideal for Women and Girls",ADISA International,B084JGJ8PF
Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,"₹1,039.00",4.2 out of 5 stars,"3,601 ratings",https://www.amazon.in/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF/ref=sxin_15?asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408%3Aamzn1.sym.feb2b32b-0085-4665-973c-36b431684408&creativeASIN=B07RXYSJHF&crid=2M096C61O4MLT&cv_ct_cx=bags&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=bags&linkCode=oas&pd_rd_i=B07RXYSJHF&pd_rd_r=ba0775f5-6bc9-4787-81e3-e371913aa4f8&pd_rd_w=gezJ0&pd_rd_wg=7CVK6&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=G0W67QHJKWAG7F1QSBMQ&qid=1675456604&sprefix=ba%2Caps%2C283&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=idivaosp-21,"Inner Material: Polyester; Color: Grey; Package Contents: 1 Handbag    Dimensions: HandBag: HxLxD(CM)-27x33x13; Closure Type: Zip closure with adjustable strap    Pockets: 4 Compartment and 2 Zip Pocket    Easy to carry traveling essentials like mobile phone, keys, wallet, and other accessories.; Outer Material Type: Synthetic    Occasion Type: Casual",COALESCENT INDIA,B09B29F66W
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565.00,4.3 out of 5 stars,"9,233 ratings",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675456604&sprefix=ba%2Caps%2C283&sr=8-6,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.","Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",B07M9BRCQ5
